Brand,Model,Horsepower,Fuel_Consumption,Weight,Price
Toyota,Corolla,120,6.5,1250,22000
Toyota,Camry,180,7.2,1450,32000
Toyota,Supra,340,9.8,1520,55000
Honda,Civic,140,6.8,1280,24000
Honda,Accord,190,7.5,1470,33000
Ford,Focus,150,7.1,1320,26000
Ford,Mustang,450,12.0,1680,65000
Chevrolet,Malibu,170,7.9,1490,30000
Chevrolet,Camaro,455,12.5,1700,67000
BMW,320i,180,7.3,1500,37000
BMW,530d,265,8.1,1680,52000
BMW,M3,480,10.5,1730,85000
BMW,M5,625,12.8,1850,120000
BMW,X5,340,9.6,2100,78000
Audi,A4,190,7.4,1490,39000
Audi,A6,245,8.0,1650,52000
Audi,RS6,600,12.5,2075,125000
Mercedes,C200,200,7.5,1540,41000
Mercedes,E300,258,8.2,1720,58000
Mercedes,E63 AMG,612,13.0,1900,130000
Kia,Rio,110,6.2,1190,21000
Kia,K5,180,7.0,1450,31000
Hyundai,Elantra,130,6.4,1260,23000
Hyundai,Sonata,191,7.1,1490,32000
Nissan,Sentra,149,6.9,1300,25000
Nissan,370Z,332,10.1,1500,50000
Volkswagen,Golf,150,6.8,1340,27000
Volkswagen,Passat,220,7.8,1580,42000
Mazda,Mazda3,155,6.7,1320,26000
Mazda,MX-5,181,7.0,1130,35000
Subaru,Impreza,152,7.3,1380,28000
Subaru,WRX STI,310,10.0,1540,49000
Lexus,IS300,241,8.4,1620,47000
Lexus,LS500,416,10.7,2210,92000
Tesla,Model 3,283,0.0,1760,48000
Tesla,Model S,670,0.0,2100,115000
Volvo,S60,250,7.9,1690,51000
Volvo,XC90,316,8.8,2150,69000
Peugeot,308,130,6.3,1270,24000
Peugeot,508,225,7.7,1530,41000
Mitsubishi,Lancer,148,7.2,1350,25000
Mitsubishi,Outlander,168,8.1,1620,34000
Acura,TLX,272,8.5,1700,45000
Acura,NSX,573,11.0,1725,160000
Renault,Megane,140,6.5,1310,25500
Renault,Talisman,225,7.9,1590,40000
Fiat,500,100,5.8,1050,19000
Fiat,Panda,85,5.5,980,17500
Alfa Romeo,Giulia,280,8.3,1650,52000
Alfa Romeo,Stelvio,280,8.7,1800,55000
Jaguar,XE,250,8.0,1665,48000
Jaguar,F-PACE,340,9.4,1900,72000
Land Rover,Defender,300,10.5,2300,65000
Mini,Cooper S,192,7.1,1280,32000
Genesis,G70,252,8.2,1680,43000
Genesis,GV80,375,10.8,2200,75000
Jeep,Wrangler,285,11.2,2000,48000
Jeep,Grand Cherokee,293,9.8,2100,52000
Dodge,Charger,370,10.5,1950,58000
Dodge,Challenger,485,12.2,1980,72000
Cadillac,CT5,335,9.7,1800,55000
Cadillac,Escalade,420,13.5,2600,95000
Tesla,Model Y,384,0.0,1980,62000
Tesla,Model X,670,0.0,2400,130000
Porsche,911,443,10.8,1590,115000
Porsche,Taycan,476,0.0,2300,105000
Ferrari,488,661,14.5,1475,280000
Lamborghini,Urus,641,13.8,2200,230000
Mazda,CX-5,194,7.6,1620,33000
Volkswagen,Tiguan,190,8.0,1700,38000